RUN;Nombre;"Apellido P";x;x;x;0;CONTRATO;DIURNO;VESPERTINO;SEDE;CARRERA;"GRADO ACADÉMICO";"JERARQUÍA ";CARGO;"academico y administrativo"
19036378;Lee;Jordan;x;lee.jordan.marin@yeeha.com;x;0;x;x;x;x;x;x;x;x;x
12114054;Justin;x;x;justin.finch-fletchley@latorre.com;x;0;x;x;x;x;x;x;x;x;x
21103479;Harry;Potter;x;harry.potter.badilla@yeeha.com;x;0;x;x;x;x;x;DOCTOR;x;x;x
21673365;x;Pince;x;irma.pince@coldmail.com;x;0;x;x;x;x;x;x;x;x;x
13827502;Remus;Lupin;x;remus.lupin.barrientos@yeeha.com;x;0;"FULL TIME";diurno;x;HOGWARTS;MAGIA;MAGISTER;"TITULAR DOCENTE";"Profesor 1/2 Jornada";"academico y administrativo"
11057406;Filius;Flitwick;x;filius.flitwick@coldmail.com;x;0;HONORARIO;diurno;x;BEAUXBATON;HECHICERÍA;MAGISTER;"SIN JERARQUIZAR";x;academico
12972527;Seamus;Finnigan;x;seamus.finnigan.contreras@coldmail.com;x;0;HONORARIO;diurno;x;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";x;academico
100;POR;DESIGNAR;x;x;x;0;x;x;x;x;x;MAGISTER;"ASISTENTE REGULAR";x;academico
4010;POR;DESIGNAR;x;x;x;0;x;x;x;x;x;x;x;x;x
17922276;x;x;x;x;x;40;"FULL TIME";x;x;x;x;x;x;"Secretaria (o)";administrativo
7900381;Viktor;Krum;x;viktor.krum.duran@yeeha.com;x;0;"FULL TIME";diurno;x;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";"Profesor 1/2 Jornada";"academico y administrativo"
12791816;Xenophilius;Lovegood;x;xenophilius.lovegood.gonzalez@coldmail.com;x;0;HONORARIO;x;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";x;academico
14064936;Angelina;Johnson;x;angelina.johnson.reyes@yeeha.com;x;0;HONORARIO;diurno;x;BEAUXBATON;MAGIA;LICENCIATURA;"SIN JERARQUIZAR";x;academico
111861590;x;x;x;x;x;40;"FULL TIME";x;x;x;x;x;x;"Secretaria - Escuela";administrativo
7481441;Arthur;Weasley;x;arthur.weasley.diaz@yeeha.com;x;0;"FULL TIME";diurno;x;x;x;LICENCIATURA;"INSTRUCTOR DOCENTE";"Coord. de Clínica ";"academico y administrativo"
15647218;Cuthbert;Binns;x;cuthbert.binns@yeeha.com;x;0;x;x;x;x;x;x;x;x;x
21904102;Petunia;Dursley;x;petunia.dursley.jeraldo@gmall.com;x;0;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";x;academico
22336345;Blaise;Zabini;x;blaise.zabini.pardo@gmall.com;x;0;x;x;x;x;x;x;x;x;x
19164741;"David ";Heyman;x;x;x;0;x;x;x;x;x;x;x;x;x
14550636;Ginny;Weasley;x;ginny.weasley.rojas@gmall.com;x;0;x;x;x;x;x;x;x;x;x
11055885;James;Potter;x;james.potter.cortes@coldmail.com;x;0;x;x;x;x;x;x;x;x;x
20666086;Marietta;Edgecombe;x;marietta.edgecombe@dietz.com;x;0;x;x;x;x;x;MAGISTER;x;x;x
7505853;Charity;Burbage;x;charity.burbage@coldmail.com;x;0;x;x;x;x;x;x;x;x;x
7434992;Padma;Patil;x;padma.patil.sandoval@coldmail.com;x;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"TITULAR DOCENTE";x;academico
23116372;Cornelius;Fudge;x;cornelius.fudge.avila@yeeha.com;x;0;x;x;x;x;x;x;x;x;x
20354821;Quirinus;Quirrell;x;quirinus.quirrell@yeeha.com;x;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;x;"TITULAR DOCENTE";"Profesor por Jornada";"academico y administrativo"
12193904;x;Kettleburn;x;silvanus.kettleburn@gmall.com;x;0;HONORARIO;x;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";x;academico
14183901;Terry;Boot;x;terry.boot.diaz@coldmail.com;x;0;"FULL TIME";x;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";"Director Inst. Investigación y Postgra";"academico y administrativo"
13475408;Poppy;Pomfrey;x;poppy.pomfrey@gmall.com;x;0;"FULL TIME";x;vespertino;HOGWARTS;MAGIA;LICENCIATURA;"TITULAR DOCENTE";"Profesor por Jornada";"academico y administrativo"
15992956;Dolores;Umbridge;x;dolores.umbridge@coldmail.com;x;0;x;x;x;x;x;LICENCIATURA;x;x;x
8761982;"Helga ";Hufflepuff;x;helga.hufflepuff.bozo@coldmail.com;x;0;x;x;x;x;x;DOCTOR;x;x;x
20638852;Sirius;Black;x;sirius.black.esquivel@coldmail.com;x;0;"FULL TIME";diurno;x;HOGWARTS;MAGIA;MAGISTER;"ASOCIADA REGULAR";"Director (a) Centro de Sol. Colab.de C";"academico y administrativo"
12758128;Argus;Filch;x;argus.filch@gmall.com;x;0;HONORARIO;diurno;x;BEAUXBATON;x;"DOCTOR ";"ASISTENTE DOCENTE";x;academico
122637826;x;x;x;x;x;40;"FULL TIME";x;x;x;x;x;x;"Secretaria - Escuela";administrativo
24009027;Neville;Longbottom;x;neville.longbottom.valenzuela@gmall.com;x;0;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
16901248;Hermione;Granger;x;hermione.granger.benavides@coldmail.com;x;0;HONORARIO;diurno;x;BEAUXBATON;" HECHICERÍA";DOCTOR;"ASOCIADA DOCENTE";x;academico
21713351;Cormac;McLaggen;x;cormac.mclaggen@valenzuela.com;x;0;HONORARIO;diurno;x;x;x;MAGISTER;"ASISTENTE DOCENTE";x;academico
15155275;Pansy;Parkinson;x;pansy.parkinson.larroucau@coldmail.com;x;0;"FULL TIME";x;vespertino;HOGWARTS;MAGIA;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
12866079;Colin;Creevey;x;colin.creevey.bermudez@gmall.com;x;0;x;x;x;x;x;x;x;x;x
123712616;x;x;x;x;x;40;"FULL TIME";x;x;x;x;x;x;"Secretaria (o)";administrativo
12273600;Alastor;"PITURRA ";x;alastor.piturra@yeeha.com;x;0;x;x;x;x;x;x;x;x;x
22890939;"Alfonso ";Cuarón;x;x;x;0;x;x;x;x;x;x;x;x;x
12w238470;x;x;x;x;x;40;"FULL TIME";x;x;x;x;x;x;"Secretaria (o)";administrativo
9909814;Hannah;Abbott;x;hannah.abbott@viana.com;x;0;HONORARIO;x;x;BEAUXBATON;HECHICERÍA;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
12712137;Katie;Bell;x;katie.bell.aguirre@coldmail.com;x;0;x;x;x;x;x;x;x;x;x
14079731;Pomona;Sprout;x;pomona.sprout@coldmail.com;x;0;x;x;x;x;x;x;x;x;x
10778699;LAMAS;BELLA;x;lamas.bella.delmundo@yeeha.com;x;120;"DOUBLE  TIME";diurno;vespertino;TODAS;HECHICERÍA;MAGISTER;"ASISTENTE DOCENTE";VICEDECANA;"academico y administrativo"
11682760;Amycus;Carrow;x;amycus.carrow@yeeha.com;x;0;x;diurno;vespertino;x;x;x;x;x;x
24496460;Parvati;Patil;x;parvati.patil.pardo@yeeha.com;x;0;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;LICENCIATURA;"ASOCIADO DOCENTE";x;academico
19690944;Lavender;Brown;x;lavender.brown@torralbo.com;x;0;x;x;x;x;x;x;x;x;x
19465195;Theodore;Nott;x;theodore.nott.plaza@gmall.com;x;0;HONORARIO;diurno;x;HOGWARTS;MAGIA;LICENCIATURA;"INSTRUCTOR DOCENTE";x;academico
19525663;Susan;Bones;x;susan.bones@poncedeleon.com;x;0;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";x;academico
123712616;x;x;x;x;x;40;"FULL TIME";x;x;x;x;x;x;"Secretaria - Escuela";administrativo
13567862;Dean;Thomas;x;dean.thomas.basaez@yeeha.com;x;0;HONORARIO;diurno;x;x;x;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
19028250;Kingsley;Shacklebolt;x;kingsley.shacklebolt.perez@gmall.com;x;0;x;x;x;x;x;x;x;x;x
20537459;Alastor;Moody;x;alastor.moody.munita@coldmail.com;x;0;HONORARIO;diurno;x;x;x;MAGISTER;"INSTRUCTOR DOCENTE";"Profesor por Jornada";"academico y administrativo"
24441914;Gregory;Goyle;x;gregory.goyle.brochet@yeeha.com;x;0;x;x;x;x;x;x;x;x;x
20811745;x;x;x;wilhelmina.grubblyplank@gmall.com;x;0;HONORARIO;diurno;x;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";x;academico
6012;DESIGNAR;POR;x;x;x;0;x;x;x;x;x;DOCTORA;"INSTRUCTOR DOCENTE";"Profesor por Jornada";"academico y administrativo"
23116742;Dolores;Umbridge;x;dolores.umbridge.baquerizo@coldmail.com;x;0;HONORARIO;diurno;x;x;x;LICENCIATURA;"INSTRUCTOR DOCENTE";x;academico
20364718;Rolanda;Hooch;x;rolanda.hooch@coldmail.com;x;0;"FULL TIME";x;x;HOGWARTS;MAGIA;x;"ASOCIADO DOCENTE";"Director(a) Carrera (i)";"academico y administrativo"
17754798;Draco;Malfoy;x;draco.malfoy.yanez@gmall.com;x;0;HONORARIO;diurno;x;x;x;MAGISTER;"ASOCIADA DOCENTE";x;academico
22671518;"Mike ";Newell;x;x;x;0;x;x;x;x;x;x;x;x;x
10693674;Percy;Weasley;x;percy.weasley.silva@coldmail.com;x;0;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;LICENCIATURA;"TITULAR DOCENTE";x;academico
9017415;Albus;Dumbledore;x;albus.dumbledore@coldmail.com;x;0;"FULL TIME";diurno;x;x;x;DOCTOR;"ASISTENTE DOCENTE";"Director(a) Carrera";"academico y administrativo"
12949268;Molly;Weasley;x;molly.weasley.robles@gmall.com;x;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;BACHILLER;"ASOCIADO REGULAR";"Secretario(a) Estudios";"academico y administrativo"
19609585;Anthony;Goldstein;x;anthony.goldstein.contreras@gmall.com;x;0;HONORARIO;diurno;x;x;x;"MAGISTER ";"ASOCIADA DOCENTE";x;academico
16462378;Cho;Chang;x;cho.chang.gallo@coldmail.com;x;0;x;x;x;x;x;x;x;x;x
23184735;Severus;Snape;x;severus.snape@yeeha.com;x;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";"Director (a) Formación Cont. y Postgra";"academico y administrativo"
19406721;Sybill;Trelawney;x;sybill.trelawney@gmall.com;x;0;HONORARIO;diurno;x;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";x;academico
24719317;Lucius;Malfoy;x;lucius.malfoy.aguilera@yeeha.com;x;0;HONORARIO;diurno;x;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";x;academico
23156352;Oliver;Wood;x;oliver.wood.fuentes@gmall.com;x;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";"Profesor por Jornada";"academico y administrativo"
13645935;Horace;Slughorn;x;horace.slughorn@gmall.com;x;0;x;x;x;x;x;x;x;x;x
21982013;Rowena;" Ravenclaw";x;rowena.ravenclaw.vargas@gmall.com;x;0;HONORARIO;x;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";x;academico
22125739;Ron;Weasley;x;ron.weasley.irarrazabal@gmall.com;x;0;"FULL TIME";diurno;x;HOGWARTS;MAGIA;x;"INSTRUCTOR DOCENTE";"Director Clínica ";"academico y administrativo"
25090138;Lily;Potter;x;lily.potter.aspillaga@coldmail.com;x;0;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"TITULAR DOCENTE";Profesor;"academico y administrativo"
16563364;Zacharias;Smith;x;zacharias.smith@yeeha.com;x;0;HONORARIO;diurno;x;HOGWARTS;MAGIA;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
9734595;Alicia;Spinnet;x;alicia.spinnet.bascunan@gmall.com;x;0;x;x;x;x;x;x;x;x;x
18231420;"David ";Yates;x;x;x;0;HONORARIO;diurno;x;HOGWARTS;MAGIA;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
14793687;George;Weasley;x;george.weasley.valdivia@yeeha.com;x;0;x;x;x;x;x;x;x;x;x
17333138;Aurora;Sinistra;x;aurora.sinistra@coldmail.com;x;0;x;x;x;x;x;x;x;x;x
15358632;Fred;Weasley;x;fred.weasley.marti@gmall.com;x;0;x;x;x;x;x;x;x;x;x
22630533;Alecto;Carrow;x;alecto.carrow@gmall.com;x;0;HONORARIO;diurno;x;x;x;LICENCIATURA;"ASISTENTE DOCENTE";x;academico
20454143;Cedric;Diggory;x;cedric.diggory.diaz@yeeha.com;x;0;HONORARIO;diurno;x;x;x;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
13185805;"Godric ";Gryffindor;x;godric.gryffindor.stippel@yeeha.com;x;0;x;x;x;x;x;x;x;x;x
16185180;Michael;Corner;x;michael.corner.vargas@yeeha.com;x;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";"Director(a) Carrera";"academico y administrativo"
10300778;Rubeus;Hagrid;x;rubeus.hagrid@yeeha.com;x;0;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"TITULAR DOCENTE";x;academico
11822639;"Salazar ";Slytherin;x;salazar.slytherin.avila@yeeha.com;x;0;HONORARIO;x;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";x;academico
16386516;Bathsheda;Babbling;x;bathsheda.babbling@gmall.com;x;0;x;x;x;x;x;x;x;x;x
22219383;"Chris ";Columbus;x;x;x;0;x;x;x;x;x;x;x;x;x
24120738;Narcissa;Malfoy;x;narcissa.malfoy.ramirez@coldmail.com;x;0;x;x;x;x;x;x;x;x;x
