"﻿Código Plan";Carrera;Cohorte;"Número de alumno";Bloqueo;"Causal Bloqueo";RUN;DV;Nombres;;"Primer Apellido";"Segundo Apellido";Logro;"Fecha Logro";"Última Carga"
GH1;Magia;2003-01;507027;S;"ALUMNO CON DEUDA MOROSA";16107931;1;BEATRI;WALERIANNY;BORLANDO;ZEBALLOS;"QUINTO AÑO - EGRESO";2008-01;2008-01
GH1;Magia;2003-01;463031;N;"Sin Bloqueo";12418141;3;IBRAHIM;VALESKA;MAGNA;ARCAY;"QUINTO AÑO - EGRESO";2009-01;2009-01
HW1;Magia;2002-01;546343;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";19672248;5;NALLABETH;PLUSKAL;HIPP;ROZAS;INGRESO;2002-01;
HW1;Magia;2001-01;565377;S;"ALUMNO CON DEUDA MOROSA";11016476;4;ANÍBAL;GRACIE;MELLER;OCARANZA;INGRESO;2001-01;
HW2;Magia;2007-01;605690;S;"SUSPENSION DE ESTUDIOS";5887165;4;ANTONIA;BELEN;DONDERS;QUIERO;INGRESO;2007-01;
GH1;Magia;2003-01;508059;S;"SUSPENSION DE ESTUDIOS";4266844;8;SIGISFREDO;ANDRÉA;VILLAROEL;ALIAGA;INGRESO;2003-01;
HP1;Magia;1983-01;551310;S;"ALUMNO EGRESADO";6620207;K;HENID;NEO;MELO;ILABACA;"QUINTO AÑO- EGRESO";1997-01;1997-01
HW1;Magia;2002-01;499344;S;"ALUMNO EGRESADO";17475153;4;ESMILIAN;OSCIEL;PAPAGALLO;ELICES;"QUINTO AÑO - EGRESO";2006-02;2006-02
GH1;Magia;2004-01;632012;S;"BLOQUEO POR NO INSCRIPCION";20771632;4;RAISA;CRISTIA;MC-NIVEN;FRANETOVIC;"SEGUNDO AÑO";2006-02;2007-01
HP1;Magia;1991-01;596594;S;"BLOQUEO POR NO INSCRIPCION";10530989;6;ANAMARIA;DALMA;O'KUINGHTON;MACHUCA;"QUINTO AÑO- EGRESO";1999-01;1999-01
HW1;Magia;2000-01;520393;S;"BLOQUEO POR NO INSCRIPCION";25047576;8;GIANCAR;JANNIFFER;ASPEE;BALBONTÌN;INGRESO;2000-01;2000-02
HW1;Magia;2002-01;389330;S;"ALUMNO EGRESADO";17324958;2;AGUSTINA;JESSICCA;PINO;DAUDEN;"QUINTO AÑO - EGRESO";2006-02;2006-02
HP1;Magia;1991-01;375651;S;"ALUMNO CON DEUDA MOROSA";22278175;2;RAÚL;ELUNEY;FUSTER;FACCUSE;"CUARTO AÑO";2003-01;2004-01
HP1;Magia;1983-01;592856;S;"ALUMNO EGRESADO";13857766;1;HELENA;AISELLE;"LA REGLA";CISTERNAS;"QUINTO AÑO- EGRESO";1989-01;1990-01
HP1;Magia;2004-01;410750;S;"ALUMNO EGRESADO";14796506;7;SANDRINO;AND.;VIVAR;TIZNADO;"SEGUNDO AÑO";2008-01;2008-01
HW1;Magia;2004-01;377518;S;"CAMBIO DE PLAN O CARRERA";17145870;7;EDGAR;RAIMUNDO;ECHENIQUE;VALLADARES;"CUARTO AÑO";2007-01;2007-01
HP1;Magia;1996-01;502691;S;"BLOQUEO POR NO INSCRIPCION";12304332;9;MORY;YENNY;AGÜERO;DEVAUD;INGRESO;1996-01;1998-01
HP1;Magia;1984-01;508774;S;"ALUMNO EGRESADO";17689418;0;CLEMENTE;ANDRINA;ORDENES;PUIG;"QUINTO AÑO- EGRESO";1994-01;1994-01
HP1;Magia;1993-01;405766;N;"Sin Bloqueo";9333144;8;JISSELE;AMADIEL;MACHO;PONCE;"QUINTO AÑO- EGRESO";1991-01;1991-01
HP2;Magia;2007-01;589255;S;"SUSPENSION DE ESTUDIOS";10683330;2;CAMILLE;ESTIVALYA;PERALTA;LATTUS;"2 SEMESTRE";2010-01;
HW2;Magia;2008-01;435927;N;"Sin Bloqueo";23095590;K;HAINZ;INTI;1;BORLONE;"2 SEMESTRE";2009-01;2011-02
HP1;Magia;1988-01;389802;S;"ALUMNO EGRESADO";11714562;1;DIORSA;MAUREEN;WATANABE;FURKERT;"SEGUNDO AÑO";1990-01;1993-02
HW2;Magia;2006-01;499235;S;"ALUMNO CON DEUDA MOROSA";8923236;9;EMANUEL;AMÉRICO;MEYER;PUEBLA;INGRESO;2006-01;
HW1;Magia;2000-01;580389;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";9995365;9;GRACE;ANDREE;PARAUD;CAVADA;INGRESO;2000-01;
HW2;Magia;2005-01;557107;S;"SUSPENSION DE ESTUDIOS";23250765;4;BERNARDA;AAROM;PEYRESBLANQUES;FRITZLER;INGRESO;2005-01;
HP1;Magia;1988-01;430765;S;"ALUMNO EGRESADO";23734593;9;AXELL;PIER;DAWSON;ACHIARDI;"CUARTO AÑO";1991-01;1993-01
HW1;Magia;2008-02;473823;S;"ALUMNO EGRESADO";22028694;9;YANTHIL;PIERIS;ORÓSTICA;LUSTIG;"QUINTO AÑO - EGRESO";2009-01;2009-01
HP1;Magia;2000-01;436229;S;"ALUMNO EGRESADO";16832615;0;YASMÍN;DIANA;CAMINADA;BERRIOS;"QUINTO AÑO- EGRESO";2010-01;2002-02
HP1;Magia;1985-01;473840;S;"BLOQUEO POR NO INSCRIPCION";4247983;9;GLADYS;KATINA;GHIO;LISPERGUER;"QUINTO AÑO- EGRESO";1990-01;1990-01
HW2;Magia;2006-01;593240;S;"SUSPENSION DE ESTUDIOS";8539598;6;KATINA;STEPHANY;KOHLE;COÑOEPAN;INGRESO;2006-01;
HW1;Magia;2002-01;450346;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";15686224;5;GIANINNA;WELLINGTON;LUCERO;MELYS;INGRESO;2002-01;
HW2;Magia;2012-01;441994;S;"ALUMNO CON DEUDA MOROSA";6170416;7;ALE.;BENNETT;MARRERO;BORDOY;INGRESO;2012-01;2013-01
HP1;Magia;1986-01;529795;S;"ALUMNO EGRESADO";24186078;4;CRISHNA;SILAS;KRAUSS;WISNIA;"SEGUNDO AÑO";1990-01;1995-01
HP1;Magia;1991-01;509782;S;"BLOQUEO POR NO INSCRIPCION";16513143;6;MAGALY;DALYS;SUKNI;MASCARO;"SEGUNDO AÑO";1993-01;1995-01
HW2;Magia;2014-01;480463;S;"ALUMNO CON DEUDA MOROSA";9517010;6;ANAYS;GABRIEL;CARCAMO;PASTORIZA;INGRESO;2014-01;
HP1;Magia;1996-01;441858;S;"ALUMNO EGRESADO";16653831;9;MANLIO;CARINA;DENEGRI;MANGHI;"QUINTO AÑO- EGRESO";2000-01;2000-01
HP1;Magia;1987-01;594731;S;"ALUMNO EGRESADO";4424814;0;QUILLEN;ADRIANA;MELLA;PRAT;"QUINTO AÑO- EGRESO";1994-01;1994-01
HW1;Magia;2000-01;394403;S;"ALUMNO CON DEUDA MOROSA";16756037;3;JACOBO;GRECIA;CARTES;BUSTOS;"PRIMER AÑO";2003-01;2005-01
HW2;Magia;2012-01;432073;N;"Sin Bloqueo";11300074;6;ISIDRO;ANTOLIN;BARON;PUIG;INGRESO;2012-01;
HP1;Magia;1996-01;646683;S;"ALUMNO EGRESADO";13098977;3;SUIYI;EVAR;FICHER;ORLANDI;"QUINTO AÑO- EGRESO";2000-02;2000-02
HW1;Magia;2002-01;652341;S;"ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO";15877997;4;ROSER;OLGA;PALAMARA;COYOPAE;"SEGUNDO AÑO";2005-01;2006-01
HW2;Magia;2005-01;546045;S;"SUSPENSION DE ESTUDIOS";6898915;1;KENDRA;YACIARA;TRAUB;VILLAMAN;INGRESO;2005-01;
HW2;Magia;2013-01;457362;N;"Sin Bloqueo";6974569;5;ANDRESSA;TRACY;BASSI;GALVEZ;INGRESO;2013-01;
HW1;Magia;2004-01;617541;S;"ALUMNO EGRESADO";6245336;4;ENMARYS;DELROCÍO;HOLGADO;ARGANDOÑA;"QUINTO AÑO - EGRESO";2008-01;2008-01
HW1;Magia;2000-01;643398;S;"ALUMNO LICENCIADO";14665398;1;STEVE;KATHYNNA;BALANDA;CALLE;"QUINTO AÑO - EGRESO";2007-01;2007-01
HW1;Magia;2000-01;487401;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";21582042;K;MIXCY;TITO;MORGADO;SAPIAINS;INGRESO;2000-01;
HW2;Magia;2006-02;562452;S;"SUSPENSION DE ESTUDIOS";15185808;5;ZORAN;GIANCARLO;RIVILLO;MALATESTA;INGRESO;2006-02;
HW1;Magia;2008-02;632831;S;"ALUMNO EGRESADO";15331507;9;MASSIEL;AIRY;OLMOS;STUARDO;"QUINTO AÑO - EGRESO";2009-02;2009-02
HP1;Magia;1991-01;436570;S;"ALUMNO EGRESADO";19044727;0;DENISE;MIHOVIL;COTTET;EPIFANI;"QUINTO AÑO- EGRESO";1996-02;1996-02
HP1;Magia;1990-01;518663;S;"BLOQUEO POR NO INSCRIPCION";9357022;1;YISLEYM;ENGEL;BASAY;KACHELE;"QUINTO AÑO- EGRESO";1996-01;1996-02
HW2;Magia;2011-01;612835;S;"SUSPENSION DE ESTUDIOS";4903264;2;VICTOR;GIULISSA;CRAIG;HOFMANN;INGRESO;2011-01;
HP1;Magia;1993-01;551283;S;"ALUMNO EGRESADO";10555684;7;GEORGEANA;STEFANI;DEPAUX;REVILLA;"CUARTO AÑO";2002-01;2002-01
HW1;Magia;2004-01;506545;N;"Sin Bloqueo";13591032;2;THIARE;ALLAN;BLANCO;RABELO;"QUINTO AÑO - EGRESO";2015-01;2015-01
HP1;Magia;1998-01;469421;S;"ALUMNO EGRESADO";10230999;0;JEAN;OSMAR;PARRAGUEZ;RUGGIERO;"TERCER AÑO";2003-01;2004-01
HP1;Magia;1986-01;510651;S;"ALUMNO EGRESADO";10262928;8;MIKELA;ESCARLETT;ESCÁRATE;NEGRÓN;"QUINTO AÑO- EGRESO";2004-02;2004-02
PH2;Magia;2006-01;541053;S;"SUSPENSION DE ESTUDIOS";9847938;9;GILMAR;RONEY;BASAY;BUZADA;INGRESO;2006-01;
HP1;Magia;1993-01;520324;S;"BLOQUEO POR NO INSCRIPCION";19405673;8;BRILLITTE;OSMAR;SCHAFER;SHATS;"TERCER AÑO";1996-01;1999-01
HW1;Magia;2001-01;423331;S;"ALUMNO EGRESADO";25174845;7;KARECZA;EGON;THOMPSON;BALICH;"QUINTO AÑO - EGRESO";2006-01;2006-01
HP1;Magia;1994-01;386095;S;"ALUMNO LICENCIADO";25864322;7;MYRTHA;MELANNIE;CAROZZI;SAFFIE;"QUINTO AÑO- EGRESO";2000-01;2000-01
HP1;Magia;1996-01;510703;S;"ALUMNO CON DEUDA MOROSA";19195116;5;JUANITA;ISIDORA;ALVEAL;GROLLMUS;"QUINTO AÑO- EGRESO";1999-02;1999-02
HW1;Magia;2002-01;626324;S;"BLOQUEO POR NO INSCRIPCION";23186913;3;ELIZABETH;ALE.;SOTELO;ORÓSTICA;INGRESO;2002-01;2003-01
HW1;Magia;2002-01;445380;S;"ALUMNO EGRESADO";23345234;2;ABIGAIL;YISEL;CHÁVEZ;VALLE;"QUINTO AÑO - EGRESO";2008-01;2008-01
GH1;Magia;2003-01;435045;S;"BLOQUEO POR NO INSCRIPCION";17339352;6;CHRISTOFER;LINA;GALLEGO;ARQUEROS;"PRIMER AÑO";2003-02;2004-01
HP1;Magia;1994-01;406168;S;"ALUMNO EGRESADO";18793161;4;JOSELUIS;NATANIEL;CLAVERÍA;ANTIHUENO;"QUINTO AÑO- EGRESO";2004-01;2004-01
HP1;Magia;1998-01;578304;S;"ALUMNO CON DEUDA MOROSA";6758977;K;SOLANO;PAULETTE;HAYVAR;MANQUIÁN;"SEGUNDO AÑO";2001-01;2001-01
HW1;Magia;2002-01;635322;S;"ALUMNO EGRESADO";18055512;5;CINDY;VANNEY;VASQUEZ;GÁLVEZ;"QUINTO AÑO - EGRESO";2006-01;2006-01
HW1;Magia;2001-01;366367;S;"ALUMNO EGRESADO";7706737;3;KYARA;GEORGETTE;ESPINOSA;GRASSI;"QUINTO AÑO - EGRESO";2006-01;2006-01
HW1;Magia;2001-01;380363;S;"ALUMNO EGRESADO";23384102;8;CRISTI;JOCSAN;ZAPATA;RABELO;"QUINTO AÑO - EGRESO";2008-02;2008-02
HW1;Magia;2004-01;463580;S;"ALUMNO EGRESADO";4848489;8;BELEN;ESPERAN;"VON BISCHOFFSHA";CADIZ;"QUINTO AÑO - EGRESO";2008-02;2008-02
PH2;Magia;2004-01;572087;S;"ALUMNO CON DEUDA MOROSA";12315805;4;ALBA;DELP.;HANSEN;ZEBALLOS;"2 SEMESTRE";2007-02;2010-01
HP1;Magia;1996-01;400737;S;"ALUMNO EGRESADO";5839302;4;CRISTHIAN;PAMEL;VALVERDE;LACOSTE;"QUINTO AÑO- EGRESO";2004-01;2004-01
HP1;Magia;1986-01;603790;S;"ALUMNO EGRESADO";8350105;7;MARIELA;ANTARES;VELOZ;STACK;"TERCER AÑO";1988-01;1993-01
HP1;Magia;1984-01;573843;S;"ALUMNO EGRESADO";4368026;2;DIANE;RONY;URRUTIA;ALARCON;"QUINTO AÑO- EGRESO";1990-01;1990-01
HP1;Magia;1983-01;499461;S;"ALUMNO EGRESADO";14226162;6;GEMMA;MARGGORIT;TAMPE;"DE UGARTE";"QUINTO AÑO- EGRESO";2001-02;2001-02
HP1;Magia;1997-01;526464;S;"BLOQUEO POR NO INSCRIPCION";7156160;1;EDO.;JESSIPEL;REALE;TERRISSE;INGRESO;1997-01;1998-02
HW1;Magia;2000-01;541414;N;"Sin Bloqueo";10006513;3;ADAN;JOSECARO;LLANO;CARVACHO;"QUINTO AÑO - EGRESO";2015-01;2015-01
HW2;Magia;2011-02;512918;S;"ALUMNO CON DEUDA MOROSA";17147277;4;JORDÁN;ARACELL;MÁRQUEZ;BENITEZ;INGRESO;2011-02;
HW1;Magia;2001-01;452376;S;"ALUMNO CON DEUDA MOROSA";4854121;K;ANTONNELLA;YISEL;CERECEDA;PASSALACQUA;INGRESO;2001-01;
HP1;Magia;2002-01;414101;S;"ALUMNO LICENCIADO";13593044;4;PAZ;LIDIA;ARROYO;JANO;"SEGUNDO AÑO";2004-01;2006-02
HP1;Magia;1984-01;503872;N;"Sin Bloqueo";20726294;9;VICTORIANO;FAVIA;ROVANO;TORRIJO;GRADO;1994-01;1994-01
GH1;Magia;2003-01;629035;S;"BLOQUEO POR NO INSCRIPCION";22477367;7;MERLY;ESPERANZA;DARUICH;HULME;"SEGUNDO AÑO";2005-01;2011-02
HP1;Magia;1992-01;463464;S;"ALUMNO EGRESADO";4349484;7;JALY;GIORGINA;SABAT;ELIZONDO;"QUINTO AÑO- EGRESO";1997-02;1997-02
HP1;Magia;1983-01;428853;S;"ALUMNO EGRESADO";17778730;1;HERMAN;AVRIL;BATEK;BOLADOS;"QUINTO AÑO- EGRESO";1992-01;1993-01
HP1;Magia;1992-01;370448;S;"ALUMNO EGRESADO";7245689;7;DENISSE;VICKY;OTÁROLA;.;INGRESO;1992-01;1997-02
HW1;Magia;1988-01;471745;N;"Sin Bloqueo";5566561;3;JESENIA;ELSA;LIZAMA;ACHURRA;"TERCER AÑO";2007-01;
HP1;Magia;1997-01;367597;S;"ALUMNO EGRESADO";17454918;4;MARSELLA;BRUNNELA;TRABUCCO;SAMPIERI;"QUINTO AÑO- EGRESO";2001-01;2001-01
HW1;Magia;2008-01;486825;N;"Sin Bloqueo";24125239;5;IRENE;JARED;ENAKIHIE;BACCELIERE;"QUINTO AÑO - EGRESO";2019-02;2019-02
HP1;Magia;1998-01;578275;S;"ALUMNO EGRESADO";12270698;5;ASHLEY;AMAN;MILLAR;LYNCH;"QUINTO AÑO- EGRESO";2004-02;2004-02
HW1;Magia;2003-01;456345;S;"ALUMNO EGRESADO";16596203;5;RENAN;NORA;ITURRIETA;GAMONAL;"QUINTO AÑO - EGRESO";2008-02;2008-02
HP1;Magia;2000-01;646286;S;"BLOQUEO POR NO INSCRIPCION";13529139;0;CARMIÑA;GISLAHINE;VERANO;BOGANI;"SEGUNDO AÑO";2002-01;2004-01
HP1;Magia;1999-01;552155;S;"BLOQUEO POR NO INSCRIPCION";22457205;1;DIANE;ETIENNE;LAZO;GUZMAN;"SEGUNDO AÑO";2002-01;2005-01
HP1;Magia;2000-01;599329;S;"ALUMNO EGRESADO";12009033;7;NICOLS;EMELINA;AGUAYO;DONAIRE;"SEGUNDO AÑO";2002-01;2005-02
